2019/06/25 15:02:47 [WinError 10054] 远程主机强迫关闭了一个现有的连接。
2019/06/25 15:02:54 发送消息:{'sub': 'market.btcusdt.kline.1min', 'id': 'BTC'}
2019/06/25 15:02:55 收到订阅状态消息：{'id': 'BTC', 'status': 'ok', 'subbed': 'market.btcusdt.kline.1min', 'ts': 1561446175191}
2019/06/25 15:03:08 ts:1561446188586 id:1561446180 amount:7.154623729893481 open:11336.01 close:11337.5 low:11336.0 high:11341.83 count:68 vol:81121.401386
2019/06/25 15:03:08 ts:1561446188619 id:1561446180 amount:7.154711899086635 open:11336.01 close:11341.83 low:11336.0 high:11341.83 count:69 vol:81122.401386
2019/06/25 15:03:08 ts:1561446188772 id:1561446180 amount:7.181171862660042 open:11336.01 close:11343.07 low:11336.0 high:11343.07 count:72 vol:81422.531386
2019/06/25 15:03:09 ts:1561446189427 id:1561446180 amount:7.1812600222147305 open:11336.01 close:11343.07 low:11336.0 high:11343.07 count:73 vol:81423.531386
2019/06/25 15:03:09 ts:1561446189437 id:1561446180 amount:7.182548181769419 open:11336.01 close:11338.05 low:11336.0 high:11343.07 count:75 vol:81438.137046
2019/06/25 15:03:09 ts:1561446189467 id:1561446180 amount:7.202248181769419 open:11336.01 close:11343.06 low:11336.0 high:11343.07 count:77 vol:81661.592476
2019/06/25 15:03:09 收到ping消息: {'ping': 1561446189536}
2019/06/25 15:03:09 发送消息:{'pong': 1561446189536}
2019/06/25 15:03:09 ts:1561446189668 id:1561446180 amount:7.252348181769419 open:11336.01 close:11337.93 low:11336.0 high:11343.07 count:79 vol:82229.622769
2019/06/25 15:03:10 ts:1561446190127 id:1561446180 amount:7.252436340702343 open:11336.01 close:11343.15 low:11336.0 high:11343.15 count:80 vol:82230.622769
2019/06/25 15:03:10 ts:1561446190505 id:1561446180 amount:7.528636340702343 open:11336.01 close:11340.8 low:11336.0 high:11343.15 count:81 vol:85362.951729
2019/06/25 15:03:10 ts:1561446190618 id:1561446180 amount:7.528724500257032 open:11336.01 close:11343.07 low:11336.0 high:11343.15 count:82 vol:85363.951729
2019/06/25 15:03:10 ts:1561446190729 id:1561446180 amount:7.52881265981172 open:11336.01 close:11343.07 low:11336.0 high:11343.15 count:83 vol:85364.951729
2019/06/25 15:03:10 ts:1561446190785 id:1561446180 amount:7.5721126598117205 open:11336.01 close:11343.15 low:11336.0 high:11343.15 count:86 vol:85856.10994010553
2019/06/25 15:03:11 ts:1561446191421 id:1561446180 amount:7.65261845690295 open:11336.01 close:11345.0 low:11336.0 high:11345.0 count:88 vol:86769.43994010553
2019/06/25 15:03:11 ts:1561446191457 id:1561446180 amount:7.652706601460023 open:11336.01 close:11345.0 low:11336.0 high:11345.0 count:89 vol:86770.43994010553
2019/06/25 15:03:11 ts:1561446191808 id:1561446180 amount:7.652794746094791 open:11336.01 close:11344.99 low:11336.0 high:11345.0 count:90 vol:86771.43994010553
2019/06/25 15:03:12 ts:1561446192461 id:1561446180 amount:7.652882890651865 open:11336.01 close:11345.0 low:11336.0 high:11345.0 count:91 vol:86772.43994010553
2019/06/25 15:03:12 ts:1561446192667 id:1561446180 amount:7.663582890651865 open:11336.01 close:11341.3 low:11336.0 high:11345.0 count:94 vol:86893.79185010552
2019/06/25 15:03:12 ts:1561446192832 id:1561446180 amount:7.663671035208939 open:11336.01 close:11345.0 low:11336.0 high:11345.0 count:95 vol:86894.79185010552
2019/06/25 15:03:13 ts:1561446192998 id:1561446180 amount:7.6637591797660125 open:11336.01 close:11345.0 low:11336.0 high:11345.0 count:96 vol:86895.79185010552
2019/06/25 15:03:13 ts:1561446193534 id:1561446180 amount:7.6638473244007805 open:11336.01 close:11344.99 low:11336.0 high:11345.0 count:97 vol:86896.79185010552
2019/06/25 15:03:14 ts:1561446194465 id:1561446180 amount:7.6639354690355495 open:11336.01 close:11344.99 low:11336.0 high:11345.0 count:98 vol:86897.79185010552
2019/06/25 15:03:14 ts:1561446194468 id:1561446180 amount:7.736623613670317 open:11336.01 close:11344.31 low:11336.0 high:11345.0 count:100 vol:87722.38875610553
2019/06/25 15:03:14 ts:1561446194491 id:1561446180 amount:7.7707236136703175 open:11336.01 close:11344.32 low:11336.0 high:11345.0 count:101 vol:88109.23006810553
2019/06/25 15:03:14 ts:1561446194492 id:1561446180 amount:7.774123613670318 open:11336.01 close:11344.32 low:11336.0 high:11345.0 count:102 vol:88147.80075610553
2019/06/25 15:03:14 收到ping消息: {'ping': 1561446194536}
2019/06/25 15:03:14 发送消息:{'pong': 1561446194536}
2019/06/25 15:03:14 ts:1561446194642 id:1561446180 amount:7.777523613670318 open:11336.01 close:11344.32 low:11336.0 high:11345.0 count:103 vol:88186.37144410553
2019/06/25 15:03:15 ts:1561446194914 id:1561446180 amount:7.777611758227391 open:11336.01 close:11345.0 low:11336.0 high:11345.0 count:104 vol:88187.37144410553
2019/06/25 15:03:15 ts:1561446195515 id:1561446180 amount:7.777811758227391 open:11336.01 close:11345.0 low:11336.0 high:11345.0 count:105 vol:88189.64044410553
2019/06/25 15:03:15 ts:1561446195520 id:1561446180 amount:8.411065238350794 open:11336.01 close:11345.0 low:11336.0 high:11345.0 count:107 vol:95373.90117610553
2019/06/25 15:03:15 ts:1561446195580 id:1561446180 amount:8.411153371022191 open:11336.01 close:11346.53 low:11336.0 high:11346.53 count:108 vol:95374.90117610553
2019/06/25 15:03:15 ts:1561446195614 id:1561446180 amount:8.41124150369359 open:11336.01 close:11346.53 low:11336.0 high:11346.53 count:109 vol:95375.90117610553
2019/06/25 15:03:16 ts:1561446196455 id:1561446180 amount:8.437681305113054 open:11336.01 close:11346.53 low:11336.0 high:11346.53 count:110 vol:95675.90117610553
2019/06/25 15:03:16 ts:1561446196460 id:1561446180 amount:8.690744576439178 open:11336.01 close:11346.53 low:11336.0 high:11346.53 count:112 vol:98547.29117610553
